Model_Name,Category,Cancer_Type,Task,Dataset(s),Dataset_URL,Model_GitHub_URL,Paper_URL,Primary_Metric,Metric_Value,Secondary_Metric,Secondary_Value,Notes,Rank_by_Eval
TITAN,Foundation Model,Pan-Cancer (Multi-type),WSI Classification / Report Generation / Retrieval,TCGA + Internal,https://portal.gdc.cancer.gov/,https://github.com/mahmoodlab/TITAN,https://arxiv.org/abs/2411.19666,AUC,Outperforms prior models by 15-20%,Zero-shot classification,SOTA across tasks,"Multimodal whole-slide FM; outperforms ROI and slide FMs in linear probing, few-shot, zero-shot, rare cancer retrieval, report generation",1
CONCH,Foundation Model,Pan-Cancer (Multi-type),Image-Text Classification / Segmentation / Retrieval,1.17M histopathology image-text pairs + TCGA,https://portal.gdc.cancer.gov/,https://github.com/mahmoodlab/CONCH,https://www.nature.com/articles/s41591-024-02856-4,AUC (weakly-supervised tasks),Highest in 42% of tasks vs all vision-only FMs,Rare disease identification,SOTA,"Vision-language FM; best overall in benchmark of 42 weakly-supervised tasks; strong in rare disease, tumor segmentation, gigapixel images",2
Virchow,Foundation Model,Pan-Cancer (17 common + 7 rare),Pan-Cancer Detection / Biomarker Prediction,1.5M WSIs (internal),N/A (proprietary),https://github.com/paige-ai/Virchow,https://arxiv.org/abs/2309.07778,AUC (pan-cancer detection),0.949 (17 cancer types),AUC (rare cancers),0.937,"Pretrained on 1.5M WSIs; pan-cancer detection across 17 types; 0.937 AUC on 7 rare cancer types",3
Prov-GigaPath,Foundation Model,Pan-Cancer (31 tissue types),Cancer Classification / Pathomics / Vision-Language,1.3B tiles from 171189 WSIs (Providence Health),N/A (proprietary),https://github.com/prov-gigapath/prov-gigapath,https://www.nature.com/articles/s41586-024-07894-z,AUC,SOTA on cancer classification,Pathomics tasks,SOTA,"First whole-slide FM on real-world data; 31 tissue types; 28 cancer centers; SOTA on cancer classification and pathomics",4
UNI,Foundation Model,Pan-Cancer (20 tissue types),Classification / Segmentation / Survival Prediction,100K+ WSIs (100M+ patches) across 20 tissue types,https://portal.gdc.cancer.gov/,https://github.com/mahmoodlab/UNI,https://www.nature.com/articles/s41591-024-02857-3,Tasks won (34 CPath tasks),SOTA on majority of 34 tasks,Tissue classification,SOTA,"General-purpose self-supervised FM; evaluated on 34 CPath tasks; 77TB+ training data; strong across diverse cancer types",5
KEEP,Foundation Model,Pan-Cancer (rare subtypes focus),Zero-shot Cancer Diagnosis / Subtype Classification,Pathology image-text pairs with disease knowledge,N/A,https://github.com/loiesun/KEEP,https://arxiv.org/abs/2412.13126,Zero-shot AUC,SOTA on rare cancer subtypes,Subtype classification,Improved vs CONCH/UNI,"Knowledge-enhanced VL pre-training; integrates disease knowledge into hierarchical semantic groups; strong on rare subtypes",6
MUSK,Foundation Model,Pan-Cancer (Precision Oncology),Classification / Survival / Biomarker Prediction,Large-scale unpaired image + text data,N/A,https://github.com/lilab-stanford/MUSK,https://pubmed.ncbi.nlm.nih.gov/39779851/,AUC,SOTA on multiple oncology tasks,Survival prediction,Competitive,"Vision-language FM for precision oncology; leverages large-scale unlabelled unpaired image and text data",7
HIPT,Foundation Model,Pan-Cancer,WSI Classification / Self-supervised Representation,TCGA (multi-cancer),https://portal.gdc.cancer.gov/,https://github.com/mahmoodlab/HIPT,https://arxiv.org/abs/2206.02647,AUC (TCGA subtyping),SOTA at publication,Hierarchical representation,Strong,"Hierarchical self-supervised ViT; scales to gigapixel images; CVPR 2022 Oral",8
Phikon,Foundation Model,Pan-Cancer,Biomarker Prediction / Classification,Large-scale histopathology WSIs (Owkin),N/A,https://github.com/owkin/HistoSSLscaling,https://arxiv.org/abs/2309.07778,AUC improvement,+1.75 AUC increase vs one-shot retraining (p<0.001),Slide-level tasks,Competitive,"Masked Image Modeling SSL; Phikon-v2 outperforms prior models in slide-level biomarker prediction tasks",9
TransPath,Foundation Model,Pan-Cancer,Histopathological Image Classification,TCGA + PAIP,https://portal.gdc.cancer.gov/,https://github.com/Xiyue-Wang/TransPath,https://arxiv.org/abs/2203.00585,Accuracy,SOTA at publication,AUC,Competitive,"Transformer-based unsupervised contrastive learning; strong baseline for downstream classification",10
ROAM,Model (Specialized),Brain / Glioma,Glioma Diagnosis / Molecular State Prediction,In-house + external glioma datasets,N/A,https://github.com/whiteyunjie/ROAM,https://www.nature.com/articles/s42256-024-00868-w,Accuracy (glioma grading),Clinical-grade performance,AUC,SOTA for glioma,"Pyramid transformer for intra/inter-scale morphological features; clinical-grade glioma diagnosis; Nature Machine Intelligence 2024",11
MSINet,Model (Specialized),Colorectal Cancer,Microsatellite Instability (MSI) Prediction,TCGA-CRC + NLST,https://portal.gdc.cancer.gov/,https://github.com/rikiyay/MSINet,https://pubmed.ncbi.nlm.nih.gov/33387492/,AUC,0.92 (TCGA-CRC),Accuracy,~89%,"Deep learning MSI prediction from H&E; Lancet Digital Health; enables treatment selection without molecular testing",12
CLAM,Model (General),Pan-Cancer (Subtyping),WSI Classification (Weakly Supervised),TCGA (multiple cancer types),https://portal.gdc.cancer.gov/,https://github.com/mahmoodlab/CLAM,https://www.nature.com/articles/s41551-020-00682-w,AUC,0.994 (BCC detection),Accuracy,High,"Attention-based MIL; data-efficient weakly supervised; widely used baseline; Nature Biomedical Engineering 2021",13
MCAT,Model (Specialized),Pan-Cancer (5 types),Survival Prediction (Multimodal),TCGA (BLCA/BRCA/GBMLGG/LUAD/UCEC) 4730 WSIs,https://portal.gdc.cancer.gov/,https://github.com/mahmoodlab/MCAT,https://arxiv.org/abs/2108.02278,C-index,SOTA on 5 cancer types vs prior methods,Survival AUC,Competitive,"Multimodal co-attention transformer; integrates WSI + genomics; 4730 WSIs across 5 cancers; ICCV 2021",14
MMP,Model (Specialized),Pan-Cancer (6 types),Cancer Survival Prediction,TCGA (6 cancer types),https://portal.gdc.cancer.gov/,https://github.com/mahmoodlab/MMP,https://arxiv.org/abs/2407.00224,C-index,SOTA on 6 cancer types,Computation,Less than prior methods,"Multimodal prototyping; outperforms SOTA with less computation; ICML 2024",15
HoVer-Net,Model (Specialized),Multi-Tissue (Colon/Breast/Prostate),Nuclei Segmentation + Classification,CoNSeP / PanNuke / MoNuSeg,https://warwick.ac.uk/fac/cross_fac/tia/data/hovernet/,https://github.com/vqdang/hover_net,https://arxiv.org/abs/1812.06499,PQ (Panoptic Quality),SOTA at publication,DICE,SOTA,"Simultaneous nuclei segmentation and classification; multi-tissue; widely used benchmark model; Medical Image Analysis 2019",16
CellViT,Model (Specialized),Multi-Tissue,Cell Segmentation + Classification,PanNuke + CoNSeP,https://github.com/TIO-IKIM/CellViT,https://github.com/TIO-IKIM/CellViT,https://arxiv.org/abs/2306.15350,PQ (PanNuke),SOTA vs HoVer-Net,F1 (cell detection),SOTA,"ViT-based cell segmentation; outperforms HoVer-Net on PanNuke; strong on multi-tissue classification",17
TransMIL,Model (General),Pan-Cancer,WSI Classification (MIL),TCGA (CAMELYON16 + TCGA),https://camelyon16.grand-challenge.org/,https://github.com/szc19990412/TransMIL,https://arxiv.org/abs/2106.00908,AUC,SOTA at publication,Accuracy,Competitive,"Transformer-based correlated MIL; models spatial and morphological relations; NeurIPS 2021",18
Patch-GCN,Model (Specialized),Pan-Cancer (5 types),Survival Prediction,TCGA (BLCA/BRCA/GBMLGG/LUAD/UCEC),https://portal.gdc.cancer.gov/,https://github.com/mahmoodlab/Patch-GCN,https://arxiv.org/abs/2107.13048,C-index,SOTA on 5 TCGA cancers,Graph-based,Context-aware,"WSI as 2D point cloud; context-aware survival prediction via patch-based GCN; MICCAI 2021",19
HMIL,Model (General),Pan-Cancer,Fine-grained WSI Classification,TCGA + BRACS,https://portal.gdc.cancer.gov/,https://github.com/liupei101/HMIL,https://arxiv.org/abs/2408.02793,AUC,SOTA on fine-grained subtyping,Accuracy,Competitive,"Hierarchical MIL; fine-grained WSI classification; handles label hierarchy in cancer subtyping",20
